country,region,year,gdp,hours,pop,labelme
China,East and Southeast Asia,2000,4.0,35.0,1260,1
China,East and Southeast Asia,2010,20.9,32.0,1338,1
China,East and Southeast Asia,2020,109.6,29.0,1420,1
India,South Asia,2000,3.0,30.0,1050,1
India,South Asia,2010,11.1,27.9,1195,1
India,South Asia,2020,41.2,25.8,1359,1
United States,Western Europe and Anglosphere,2000,70.0,24.0,282,1
United States,Western Europe and Anglosphere,2010,87.0,22.8,305,1
United States,Western Europe and Anglosphere,2020,108.2,21.6,331,1
Germany,Western Europe and Anglosphere,2000,55.0,21.0,82,1
Germany,Western Europe and Anglosphere,2010,67.0,19.5,83,1
Germany,Western Europe and Anglosphere,2020,81.7,18.0,84,1
Japan,East and Southeast Asia,2000,52.0,26.0,127,1
Japan,East and Southeast Asia,2010,57.4,23.9,126,1
Japan,East and Southeast Asia,2020,63.4,21.8,124,1
Brazil,Latin America,2000,14.0,28.0,175,1
Brazil,Latin America,2010,17.9,26.8,188,1
Brazil,Latin America,2020,22.9,25.6,201,1
Mexico,Latin America,2000,18.0,30.0,101,1
Mexico,Latin America,2010,22.4,28.5,110,1
Mexico,Latin America,2020,27.8,27.0,121,1
Nigeria,Sub-Saharan Africa,2000,4.0,31.0,123,1
Nigeria,Sub-Saharan Africa,2010,5.4,30.1,159,1
Nigeria,Sub-Saharan Africa,2020,7.2,29.2,206,1
Ethiopia,Sub-Saharan Africa,2000,2.0,24.0,66,1
Ethiopia,Sub-Saharan Africa,2010,3.1,23.4,86,1
Ethiopia,Sub-Saharan Africa,2020,4.8,22.8,112,1
Turkiye,Middle East and North Africa,2000,22.0,23.0,64,1
Turkiye,Middle East and North Africa,2010,28.2,21.8,72,1
Turkiye,Middle East and North Africa,2020,36.0,20.6,81,1
Egypt,Middle East and North Africa,2000,10.0,20.0,70,1
Egypt,Middle East and North Africa,2010,13.2,19.1,84,1
Egypt,Middle East and North Africa,2020,17.4,18.2,100,1
Russia,Eastern Europe and Russia/Central Asia,2000,18.0,26.0,147,1
Russia,Eastern Europe and Russia/Central Asia,2010,23.7,24.5,144,1
Russia,Eastern Europe and Russia/Central Asia,2020,31.3,23.0,141,1
Poland,Eastern Europe and Russia/Central Asia,2000,22.0,25.0,38,0
Poland,Eastern Europe and Russia/Central Asia,2010,31.0,23.2,38,0
Poland,Eastern Europe and Russia/Central Asia,2020,43.8,21.4,37,0
Vietnam,East and Southeast Asia,2000,5.0,34.0,80,1
Vietnam,East and Southeast Asia,2010,7.8,32.2,88,1
Vietnam,East and Southeast Asia,2020,12.1,30.4,98,1
Indonesia,East and Southeast Asia,2000,9.0,31.0,212,0
Indonesia,East and Southeast Asia,2010,12.1,29.8,239,0
Indonesia,East and Southeast Asia,2020,16.3,28.6,269,0
Pakistan,South Asia,2000,6.0,28.0,154,0
Pakistan,South Asia,2010,7.2,27.1,188,0
Pakistan,South Asia,2020,8.6,26.2,229,0
